Quarter To Three,,,,,,,,,,
0,,,,,,,,,,
 N , N , N , N ,,,,,,,
 1_min , 1_min , 1_min , 1_min ,,,,,,,
 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
 1_min , 1_min , 1_min , 1_min ,,,,,,,
 1_min , 1_min , 1_min , 1_min ,,,,,,,
 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
 1_min , 1_min , 1_min , 1_min ,,,,,,,
 1_min , 1_min , 1_min , 1_min ,,,,,,,
 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj ,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Where Are You, 4_dim ," 3_min7 8_sus4(b7,9) ", 1_maj7 ,,,,,,,
 3_7 , 5_min7 0:min7 , 3_min7 2_maj7 , 1_maj7 . 3_min7 2_maj7 ,,,,,,,
 1_maj7 , 4_dim ," 3_min7 8_sus4(b7,9) ", 1_maj7 ,,,,,,,
 3_7 , 5_min7 0:min7 , 3_min7 2_maj7 , 1_maj7 . 8_min7 1_7 ,,,,,,,
0,,,,,,,,,,
Where Are You, 4_dim ," 3_min7 8_sus4(b7,9) ", 1_maj7 ,,,,,,,
 3_7 , 5_min7 0:min7 , 3_min7 2_maj7 , 1_maj7 . 3_min7 2_maj7 ,,,,,,,
 1_maj7 , 4_dim ," 3_min7 8_sus4(b7,9) ", 1_maj7 ,,,,,,,
 3_7 , 5_min7 0:min7 , 3_min7 2_maj7 , 1_maj7 . 8_min7 1_7 ,,,,,,,
 5_min9 , 7_min7 , 8_maj7 , 7_min7 ,,,,,,,
 5_min9 , 7_min7 , 1_maj9 , 0:min9 , 0:min9 ,,,,,,
 1_min9 , 8_min7 , C9_maj9 , 8_min7 ,,,,,,,
 6_min9 ," 8_sus4(b7,9) . 8_maj ", 1_min9 , 1_min9/b7 ,,,,,,,
 C9_maj9 ," 8_sus4(b7,9) ", 8_maj ,,,,,,,,
 1_sus4 , 1_sus4 , 1_maj , 1_maj , 1_maj ,,,,,,
 1_maj , 1_maj , 1_maj ,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Woman To Woman, 0:min , 1_maj7 , 0:min ,,,,,,,
 1_maj7 , 0:min , 1_maj7 , 0:min ,,,,,,,
 1_maj7 , 0:min , 1_maj7 , 0:min ,,,,,,,
 1_maj7 , 0:min , 1_maj7 , 0:min ,,,,,,,
 1_maj7 , 0:min , 1_maj7 , 0:min ,,,,,,,
 1_maj7 , 0:min ," 8_sus4(b7,9) "," 8_sus4(b7,9) ",,,,,,,
 1_maj7 , 6_maj7 , 1_maj7 , 0:min 8_min 6_maj . ,,,,,,,
 1_maj7 , 6_maj7 , 1_maj7 ," 8_sus4(b7,9) "," 8_sus4(b7,9) ",,,,,,
 1_maj7 , 6_maj7 , 1_maj7 , 6_maj7 ,,,,,,,
 1_maj7 , 6_maj7 , 1_maj7 ," 8_sus4(b7,9) "," 8_sus4(b7,9) ",,,,,,
 1_maj7 , 6_maj7 , 1_maj7 , 0:min 8_min 6_maj . ,,,,,,,
 1_maj7 , 6_maj7 , 1_maj7 ," 8_sus4(b7,9) "," 8_sus4(b7,9) ",,,,,,
 1_maj7 , 6_maj7 , 1_maj7 , 0:min 8_min 6_maj . ,,,,,,,
 1_maj7 , 6_maj7 , 1_maj7 , 0:min 8_min 6_maj . ,,,,,,,
 1_maj7 , 6_maj7 ,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
World In My Eyes, 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 6_min7 , 6_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7(b13) , 1_min7(b13) ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 6_min7 , 6_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7(b13) , 1_min7(b13) ,,,,,,,
 0:min , C9_maj , 6_min , 8_maj ,,,,,,,
 1_min , 6_min , 8_maj , ->,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 6_7 , 6_7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7(b13) , 1_min7(b13) ,,,,,,,
 0:min , C9_maj , 6_min , 8_maj ,,,,,,,
 1_min , 6_min , 8_maj , ->,,,,,,,
 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
World In My Eyes, 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 6_min7 , 6_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7(b13) , 1_min7(b13) ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 6_min7 , 6_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7(b13) , 1_min7(b13) ,,,,,,,
 0:min , C9_maj , 6_min , 8_maj ,,,,,,,
 1_min , 6_min , 8_maj , ->,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
 1_min7 , 1_min7 , 6_7 , 6_7 ,,,,,,,
 1_min7 , 1_min7 , 1_min7(b13) , 1_min7(b13) ,,,,,,,
 0:min , C9_maj , 6_min , 8_maj ,,,,,,,
 1_min , 6_min , 8_maj , ->,,,,,,,
 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Young Hearts Run Free,,,,,,,,,,
 8_sus4(9)/7 , 8_sus4(9)/7 , 8_sus4(9)/7 , 8_sus4(9)/7 ,,,,,,,
 1_maj 6_maj/5 , 1_maj7 6_maj/5 , 1_maj 6_maj/5 , 1_maj7 6_maj/5 ,,,,,,,
 6_maj 6_maj6 , 6_maj7 6_maj6 , 1_maj/5 0:min7 , 1_maj/5 0:min7 ,,,,,,,
 1_maj 6_maj/5 , 1_maj7 6_maj/5 , 1_maj 6_maj/5 , 1_maj7 6_maj/5 ,,,,,,,
 6_maj 6_maj6 , 6_maj7 6_maj6 , 1_maj/5 0:min7 , 1_maj/5 0:min7 ,,,,,,,
 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) ,,,,,,
 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 ,,,,,,,
 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj ,,,,,,,
 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 ,,,,,,,
 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj/5 0:min7 . . ,,,,,,,
 1_maj 6_maj/5 , 1_maj7 6_maj/5 , 1_maj 6_maj/5 , 1_maj7 6_maj/5 ,,,,,,,
 6_maj 6_maj6 , 6_maj7 6_maj6 , 1_maj/5 0:min7 , 1_maj/5 0:min7 ,,,,,,,
 1_maj 6_maj/5 , 1_maj7 6_maj/5 , 1_maj 6_maj/5 , 1_maj7 6_maj/5 ,,,,,,,
 6_maj 6_maj6 , 6_maj7 6_maj6 , 1_maj/5 0:min7 , 1_maj/5 0:min7 ,,,,,,,
 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) ,,,,,,
 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj ,,,,,,,
 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj/5 0:min7 . . ,,,,,,,
 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) ,,,,,,,
 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj ,,,,,,,
 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj/5 0:min7 . . ,,,,,,,
 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj ,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Young Hearts Run Free,,,,,,,,,,
 8_sus4(9)/7 , 8_sus4(9)/7 , 8_sus4(9)/7 , 8_sus4(9)/7 ,,,,,,,
 1_maj 6_maj/5 , 1_maj7 6_maj/5 , 1_maj 6_maj/5 , 1_maj7 6_maj/5 ,,,,,,,
 6_maj 6_maj6 , 6_maj7 6_maj6 , 1_maj/5 0:min7 , 1_maj/5 0:min7 ,,,,,,,
 1_maj 6_maj/5 , 1_maj7 6_maj/5 , 1_maj 6_maj/5 , 1_maj7 6_maj/5 ,,,,,,,
 6_maj 6_maj6 , 6_maj7 6_maj6 , 1_maj/5 0:min7 , 1_maj/5 0:min7 ,,,,,,,
 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) ,,,,,,
 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 ,,,,,,,
 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj ,,,,,,,
 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 ,,,,,,,
 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj/5 0:min7 . . ,,,,,,,
 1_maj 6_maj/5 , 1_maj7 6_maj/5 , 1_maj 6_maj/5 , 1_maj7 6_maj/5 ,,,,,,,
 6_maj 6_maj6 , 6_maj7 6_maj6 , 1_maj/5 0:min7 , 1_maj/5 0:min7 ,,,,,,,
 1_maj 6_maj/5 , 1_maj7 6_maj/5 , 1_maj 6_maj/5 , 1_maj7 6_maj/5 ,,,,,,,
 6_maj 6_maj6 , 6_maj7 6_maj6 , 1_maj/5 0:min7 , 1_maj/5 0:min7 ,,,,,,,
 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) ,,,,,,
 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj ,,,,,,,
 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj/5 0:min7 . . ,,,,,,,
 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) ,,,,,,,
 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj ,,,,,,,
 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj/5 0:min7 . . ,,,,,,,
 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj ,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
