Come Together,,,,,,,,,,
 6_maj, 1_maj,,,,,,,,,
 6_maj, 3_min,,,,,,,,,
 6_maj, 1_maj,,,,,,,,,
 6_maj, 3_min,,,,,,,,,
 6_maj, 1_maj,,,,,,,,,
 6_maj, 3_min,,,,,,,,,
 6_maj, 1_maj,,,,,,,,,
 6_maj, 3_min,,,,,,,,,
 6_maj, 1_maj,,,,,,,,,
 6_maj, 3_min," 8_sus4(,9,13) ",,,,,,,,
 6_maj, 4_maj,,,,,,,,,
 6_maj, 4_maj,,,,,,,,,
 6_maj, 4_maj,,,,,,,,,
 9_maj, 9_maj, 9_maj, 9_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
I Can't Stand It,,,,,,,,,,
 1_min, 8_min, 6_maj, 6_maj,,,,,,,
 1_min, 8_min, 6_maj, 6_maj,,,,,,,
 1_min, 8_min, 6_maj, 6_maj,,,,,,,
 1_min, 8_min, 6_maj, 6_maj,,,,,,,
 8_min, 4_maj, 8_min, 4_maj,,,,,,,
 8_min, 4_maj, 8_min, 8_min,,,,,,,
 1_min, 8_min, 6_maj, 6_maj,,,,,,,
 1_min, 8_min, 6_maj, 6_maj,,,,,,,
 8_min, 4_maj, 8_min, 4_maj,,,,,,,
 8_min, 4_maj, 8_min, 8_min,,,,,,,
 1_min, 8_min, 6_maj, 6_maj,,,,,,,
 1_min, 8_min, 6_maj, 6_maj,,,,,,,
 8_min, 4_maj, 8_min, 4_maj,,,,,,,
 8_min, 4_maj, 8_min, 8_min,,,,,,,
 1_min, 8_min, 6_7 , 6_7 ,,,,,,,
 1_min, 8_min, 6_7 , 6_7 ,,,,,,,
 8_min, 4_maj, 8_min, 4_maj,,,,,,,
 8_min, 4_maj, 8_min, 4_maj,,,,,,,
 8_min, 4_maj, 8_min, 4_maj,,,,,,,
 8_min, 4_maj, 8_min, 4_maj,,,,,,,
 8_min, 4_maj, 8_min, 4_maj,,,,,,,
 8_min, 4_maj, 8_min, 4_maj,,,,,,,
 8_min, 4_maj, 8_min, 4_maj,,,,,,,
 8_min, 4_maj, 8_min, 4_maj,,,,,,,
 8_min, 4_maj, 8_min, 4_maj,,,,,,,
 8_min, 4_maj, 8_min, 4_maj,,,,,,,
 8_min, 4_maj, 8_min, 4_maj,,,,,,,
 8_min, 4_maj, 8_min, 4_maj,,,,,,,
 8_min, 4_maj, 8_min, 4_maj,,,,,,,
 8_min, 4_maj, 8_min, 4_maj,,,,,,,
 8_min, 4_maj, 8_min, 4_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
I Don t Want Your Love,,,,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 1_1 , 1_1 , 1_1 , 1_1 ,,,,,,,
 1_1 , 1_1 , 1_1 , 1_1 ,,,,,,,
 1_min, 1_min, 9_maj, 1_min,,,,,,,
 1_min, 1_min, 9_maj, 1_min,,,,,,,
 1_min, 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_min, 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 1_min, 1_min, 9_maj, 1_min,,,,,,,
 1_min, 1_min, 9_maj, 1_min,,,,,,,
 1_min, 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_min, 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_min, 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_min, 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 9_maj, 1_min,,,,,,,
 1_min, 1_min, 9_maj, 1_min,,,,,,,
 1_min, 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_min, 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_min, 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_min, 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_min, 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_min, 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_min, 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_min, 12:sus4 , 6_7 , 6_7 ,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
I Got You (I Feel Good),,,,,,,,,,
 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
 8_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
 8_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
 N , N , N , N ,,,,,,,
 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
 6_7 , 6_7 , 8_7 , N ,,,,,,,
 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
 8_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
 N , N , N , N ,,,,,,,
 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
 6_7 , 6_7 , 8_7 , N ,,,,,,,
 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
 8_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
 8_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
 8_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
 8_7 , 6_7 , 1_7 , 1_7 , 1_7 , 1_7 ,,,,,
 1_9 ,,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
I Had Too Much To Dream,,,,,,,,,,
 1_maj . . . , 1_maj . . . , 1_min, 1_min,,,,,,,
 1_min, 1_min, 12:maj, 12:maj,,,,,,,
 1_min, 1_min, 12:maj, 12:maj,,,,,,,
 6_min, 6_min, 1_min, 1_min,,,,,,,
 6_min, 6_min, 1_min, 6_maj,,,,,,,
 6_maj, 6_maj,,,,,,,,,
 1_min, 1_min, 11min, 11min,,,,,,,
 (3, (3, (3, N . . . ,,,,,,,
 1_min, 6_maj, 1_min, 6_maj,,,,,,,
 1_min, 6_maj, 1_min, 8_maj,,,,,,,
 1_min, 9_maj, 1_min, 9_maj,,,,,,,
 1_min, 1_min, 12:maj, 12:maj,,,,,,,
 1_min, 1_min, 12:maj, 12:maj,,,,,,,
 6_min, 6_min, 1_min, 1_min,,,,,,,
 6_min, 6_min, 1_min, 6_maj,,,,,,,
 6_maj,,,,,,,,,,
 1_min, 1_min, 11min, 11min,,,,,,,
 (3, (3, (3, N . . . ,,,,,,,
 1_min, 6_maj, 1_min, 6_maj,,,,,,,
 1_min, 6_maj, 1_min, 8_maj,,,,,,,
 1_min, 9_maj, 1_min, 9_maj,,,,,,,
 1_min, 6_maj, 1_min, 6_maj,,,,,,,
 1_min, 6_maj, 1_min, 8_maj,,,,,,,
 1_min, 9_maj, 1_min, 9_maj,,,,,,,
 1_min, 9_maj, 1_min, 9_maj,,,,,,,
 1_min, 9_maj, 1_min, 9_maj,,,,,,,
 1_min, 9_maj, 1_min, 9_maj,,,,,,,
 1_min, 9_maj, 1_min, 9_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
I Second That Emotion,,,,,,,,,,
 8_maj, 6_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 8_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 8_maj, 6_maj, 1_maj,,,,,,,
 8_maj,,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 8_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 8_maj, 6_maj, 1_maj,,,,,,,
 8_maj, 1_maj, 8_maj, 6_maj, 1_maj,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 8_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 8_maj, 6_maj, 1_maj,,,,,,,
 8_maj, 1_maj, 8_maj, 1_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
I Will,,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 8_maj, 8_maj,,,,,,,
 8_maj, 8_maj, 1_maj, 1_maj,,,,,,,
 1_7 , 1_7 , 6_maj, 6_min,,,,,,,
 1_maj, 8_7 , 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 8_maj, 8_maj,,,,,,,
 8_maj, 8_maj, 1_maj, 1_maj,,,,,,,
 1_7 , 1_7 , 6_maj, 6_min,,,,,,,
 1_maj, 8_7 , 1_maj, 8_7 ,,,,,,,
 1_maj, 1_maj, 8_maj, 8_maj,,,,,,,
 8_maj, 8_maj, 1_maj, 1_maj,,,,,,,
 1_7 , 1_7 , 6_maj, 6_min,,,,,,,
 1_maj, 8_7 , 1_maj, 1_maj,,,,,,,
 1_maj, 8_7 , ,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
 5_7 , 5_7 , 11maj, 11maj,,,,,,,
 7_7 , 7_7 , 7_7 , 11maj, 11maj,,,,,,
 1_maj, 1_maj,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 6_7 , 6_7 , 1_maj, 1_maj,,,,,,,
 8_7 , 8_7 , 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 4_maj, 6_maj, 12:maj, 4_maj,,,,,,,
 8_7 ,,,,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj,,,,,,,,,
 1_maj, 1_maj,,,,,,,,,
 6_maj, 3_min, 8_11 , 8_11 ,,,,,,,
 1_maj, 1_maj,,,,,,,,,
 1_maj, 1_maj,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
 10_maj, 10_maj, 3_maj, 3_maj,,,,,,,
 11min, 11min,,,,,,,,,
 1_maj, 1_maj, 6_maj, 6_maj,,,,,,,
 3_min, 3_min, 8_maj, 8_maj,,,,,,,
 1_maj, 1_maj, 6_maj, 6_maj,,,,,,,
 3_min, 3_min, 8_maj," ->, fadeout",,,,,,,
 1_maj, 1_maj, 6_maj, 6_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
If I Were A Carpenter,,,,,,,,,,
 1_maj, 1_maj,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 12:maj, 6_maj, 1_maj,,,,,,,
 1_maj, 12:maj, 6_maj, 1_maj, 1_maj,,,,,,
 1_maj, 12:maj, 6_maj, 1_maj,,,,,,,
 1_maj, 12:maj, 6_maj, 1_maj, 1_maj,,,,,,
 12:maj, 1_maj,,,,,,,,,
 12:maj, 1_maj, 12:maj, 1_maj, 1_maj,,,,,,
 12:maj, 6_maj, 1_maj, 1_maj,,,,,,,
 12:maj, 1_maj,,,,,,,,,
 1_maj, 12:maj, 6_maj, 1_maj,,,,,,,
 1_maj, 12:maj, 6_maj, 1_maj, 1_maj,,,,,,
 1_maj, 12:maj, 6_maj, 1_maj,,,,,,,
 1_maj, 12:maj, 6_maj, 1_maj, 1_maj,,,,,,
 12:maj, 1_maj,,,,,,,,,
 12:maj, 6_maj, 1_maj, 1_maj,,,,,,,
 12:maj, 6_maj, 1_maj, ->,,,,,,,
 1_maj, 12:maj, 6_maj, 1_maj,,,,,,,
 1_maj, 12:maj, 6_maj, 1_maj, 1_maj,,,,,,
 1_maj, 1_maj,,,,,,,,,
 1_maj, 12:maj, 6_maj, 1_maj, 1_maj,,,,,,
 12:maj, 1_maj,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
If Not You,,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 3_min, 8_7 ,,,,,,,
 1_maj, 6_maj, 8_7 , 8_7 ,,,,,,,
 1_maj, 1_maj, 3_min, 8_7 ,,,,,,,
 1_maj, 6_maj, 8_7 , 8_7 ,,,,,,,
 6_maj, 8_7 , 1_maj, 10_min,,,,,,,
 6_maj, 8_7 , 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 3_min, 8_7 ,,,,,,,
 1_maj, 6_maj, 8_sus4 , 8_7 ,,,,,,,
 6_maj, 8_7 , 1_maj, 10_min,,,,,,,
 6_maj, 8_7 , 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 3_min, 8_7 ,,,,,,,
 1_maj, 6_maj, 8_maj, 8_maj,,,,,,,
 1_maj, 1_maj, 3_min, 8_maj,,,,,,,
 1_maj, 6_maj, 8_maj, 8_7 ,,,,,,,
 6_maj, 8_7 , 1_maj, 10_min,,,,,,,
 6_maj, 8_7 , 1_maj, 1_7 ,,,,,,,
 6_maj, 8_7 , 1_maj, 10_min,", fadeout",,,,,,
 6_maj, 8_7 , 1_maj, 1_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
If you love somebody set them free,,,,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 10_min, 10_min, 6_11 , 6_11 ,,,,,,,
 10_min, 10_min, 6_11 , 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 10_min, 10_min, 6_11 , 6_11 ,,,,,,,
 10_min, 10_min, 6_11 , 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 6_min, 4_maj, 12:maj, 12:maj,,,,,,,
 6_min, 4_maj, 12:maj, 12:maj,,,,,,,
 6_min, 4_maj, 12:maj, 12:maj,,,,,,,
 6_min, 4_maj, 12:maj, 12:maj,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 10_min, 10_min, 6_11 , 6_11 ,,,,,,,
 10_min, 10_min, 6_11 , 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,", fadeout",,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
In-A-Gadda-Da-Vida,,,,,,,,,,
 1_min,,,,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 N , N ,,,,,,,,,
" 6_sus4(,9,13) ", 3_maj," 6_sus4(,9,13) ", 3_maj,,,,,,,
" 8_sus4(,9,13) ", 5_maj," 8_sus4(,9,13) ", 5_maj,,,,,,,
 10_maj, 10_maj, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 N , N ,,,,,,,,,
" 6_sus4(,9,13) ", 3_maj," 6_sus4(,9,13) ", 3_maj,,,,,,,
" 8_sus4(,9,13) ", 5_maj," 8_sus4(,9,13) ", 5_maj,,,,,,,
 10_maj, 10_maj, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 N , N , N , N ,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, (2,,,,,,,
 1_min, 1_min,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Is There Something I Should Know,,,,,,,,,,
 * , * , * , * , x2,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 6_maj, 12:maj,,,,,,,
 1_maj, 1_maj,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 6_maj, 12:maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 6_maj, 12:maj, 1_maj, 1_maj,,,,,,,
 6_maj, 12:maj, 4_maj, 12:maj,,,,,,,
 1_maj, 4_maj, 8_maj , 6_sus4 6_maj, x2,,,,,,
 6_maj, 12:maj, 1_maj, 1_maj, 1_maj, 1_maj,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 6_maj, 12:maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 6_maj, 12:maj, 1_maj, 1_maj,,,,,,,
 6_maj, 12:maj, 4_maj, 12:maj,,,,,,,
 1_maj, 4_maj, 8_maj , 6_sus4 6_maj, x2,,,,,,
 6_maj, 12:maj, 1_maj, 1_maj,,,,,,,
 10_min, 12:maj, 1_maj, 3_min, x2,,,,,,
 10_min, 12:maj, 1_maj, 12:maj, 12:maj,,,,,,
 1_sus4 , 6_maj, x8,,,,,,,,
 1_sus4 , 6_maj, x4,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Island Of Lost Souls,,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 8_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, (2,,,,,,,,
 6_maj, 6_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 8_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,", fadeout",,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
It Amazes Me,,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 8_maj, 1_sus4 , 1_sus4 , 1_sus4 ,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj, (2,,,,,,
 1_maj, 1_maj, 1_maj, 8_maj, (3,,,,,,
 1_maj, 1_maj, 6_maj, 1_maj, (2,,,,,,
 1_maj, 1_maj, 1_maj, 8_maj, 8_maj,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj, (2,,,,,,
 1_maj, 1_maj, 1_maj, 8_maj, (3,,,,,,
 1_maj, 1_maj, 6_maj, 1_maj, (2,,,,,,
 1_maj, 1_maj, 1_maj, 8_7 8_7, 8_7 8_7, 8_7, 8_7 8_7,,,,
 1_maj, 1_maj, 6_maj, 6_maj, (3, 1_maj,,,,,
 1_maj, 1_maj, 6_maj, 6_maj, 6_maj,,,,,,
 8_7 8_7, 8_7 8_7, x2,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj, (2,,,,,,
 1_maj, 1_maj, 1_maj, 8_maj, (3,,,,,,
 1_maj, 1_maj, 6_maj, 1_maj, (2,,,,,,
 1_maj, 1_maj, 1_maj, 8_7 8_7, 8_7 8_7, 8_7 8_7, 8_7 8_7,,,,
 1_maj, 1_maj, 6_maj, 6_maj, (3, 1_maj,,,,,
 1_maj, 1_maj, 6_maj, 6_maj, 6_maj,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
 5_maj, 7_maj, 11maj, 5_maj,,,,,,,
 7_maj, 5_maj, 11maj, 11maj,,,,,,,
 1_maj, 10_min, 6_maj, 8_maj,,,,,,,
 6_maj, 8_maj, 1_maj, 6_maj,,,,,,,
 8_maj, 6_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Jessie's Girl,,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . ,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . ,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . , x4,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . ,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . ,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . , 8_maj,,,,,,,,
 1_maj, 10_min,,,,,,,,,
 1_maj, 10_min,,,,,,,,,
 6_maj, 10_min, (2,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . , x4,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . ,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . ,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . , 8_maj,,,,,,,,
 1_maj, 10_min,,,,,,,,,
 1_maj, 10_min,,,,,,,,,
 6_maj, 10_min,,,,,,,,,
 1_maj, 10_min,,,,,,,,,
 1_maj, 10_min,,,,,,,,,
 6_maj, 6_maj,,,,,,,,,
 6_maj, 10_min,,,,,,,,,
 6_maj , x10,,,,,,,,,
 6_maj , 8_maj,,,,,,,,,
 10_maj, 7_min, x4,,,,,,,,
 6_maj, 10_min,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . ,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . ,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . ,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . , 8_maj,,,,,,,,
 1_maj, 10_min, x4,,,,,,,,
 6_maj, 10_min,,,,,,,,,
 1_maj, 10_min, x3,,,,,,,,
 1_maj, 1_maj, 1_maj,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Jessie's Girl,,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . ,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . ,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . , x4,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . ,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . ,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . , 8_maj,,,,,,,,
 1_maj, 10_min,,,,,,,,,
 1_maj, 10_min,,,,,,,,,
 6_maj, 10_min, (2,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . , x4,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . ,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . ,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . , 8_maj,,,,,,,,
 1_maj, 10_min,,,,,,,,,
 1_maj, 10_min,,,,,,,,,
 6_maj, 10_min,,,,,,,,,
 1_maj, 10_min,,,,,,,,,
 1_maj, 10_min,,,,,,,,,
 6_maj, 6_maj,,,,,,,,,
 6_maj, 10_min,,,,,,,,,
 6_maj , x10,,,,,,,,,
 6_maj , 8_maj,,,,,,,,,
 10_maj, 7_min, x4,,,,,,,,
 6_maj, 10_min,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . ,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . ,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . ,,,,,,,,,
 1_maj 8_maj 10_maj . , 6_maj 8_maj 1_maj . , 8_maj,,,,,,,,
 1_maj, 10_min, x4,,,,,,,,
 6_maj, 10_min,,,,,,,,,
 1_maj, 10_min, x3,,,,,,,,
 1_maj, 1_maj, 1_maj,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Just The Way You Are,,,,,,,,,,
 1_1 3_hdim7, 1_1 . 6_maj, 1_1 3_hdim7, 1_1 . 6_maj,,,,,,,
 1_maj, 10_min, 6_maj, 10_min,,,,,,,
 6_maj, 6_min, 1_maj, 8_min,,,,,,,
 6_maj, 6_min, 1_maj, 10_min,,,,,,,
 3_sus4 , 3_7 ," 8_sus4(,9) "," 8_sus4(,9) ",,,,,,,
 1_maj, 10_min, 6_maj, 10_min,,,,,,,
 6_maj, 6_min, 1_maj, 8_min,,,,,,,
 6_maj, 6_min, 1_maj, 10_min,,,,,,,
 3_min," 8_sus4(,9) ",,,,,,,,,
 1_1 3_hdim7, 1_1 . 6_maj, 1_maj, 1_1 . 6_maj,,,,,,,
 1_maj, 10_min, 6_maj, 10_min,,,,,,,
 6_maj, 6_min, 1_maj, 8_min,,,,,,,
 6_maj, 6_min, 1_maj, 10_min,,,,,,,
 3_sus4 , 3_7 ," 8_sus4(,9) "," 8_sus4(,9) ",,,,,,,
 1_maj, 10_min, 6_maj, 10_min,,,,,,,
 6_maj, 6_min, 1_maj, 8_min,,,,,,,
 6_maj, 6_min, 1_maj, 10_min,,,,,,,
 3_min," 8_sus4(,9) ",,,,,,,,,
 1_1 3_hdim7, 1_1 . 6_maj, 1_1 3_hdim7, 8_min,,,,,,,
 6_maj, 8_7 , 5_min, 10_sus4 ,,,,,,,
 3_min, 8_7 , 1_maj, 1_maj,,,,,,,
 9_maj, 12:7 , 8_min, 1_7 ,,,,,,,
 6_min, 6_min, 6_maj, 6_maj,,,,,,,
 1_maj, 10_min, 6_maj, 10_min,,,,,,,
 6_maj, 6_min, 1_maj, 8_min,,,,,,,
 6_maj, 6_min, 1_maj, 10_min,,,,,,,
 3_min," 8_sus4(,9) ",,,,,,,,,
 1_1 3_hdim7, 1_1 . 6_maj, 1_1 3_hdim7, 8_min,,,,,,,
